min,avg,max
1526.85,1560.45,1670.55
1415.85,1461.15,1646.4
11148.6,11445.6,12279.0
21380.1,21601.5,22189.2
21577.95,21789.15,22319.25
20719.05,21083.7,21773.1
20772.9,21175.35,21866.4
20207.4,20621.55,21399.45
20945.85,21361.5,22102.2
21254.1,21667.05,22415.4
21518.7,21921.3,22637.85
20060.55,20577.3,21350.7
2037.9,2276.85,2948.55
1716.15,1930.65,2567.25
1798.95,1996.65,2608.8
1730.25,1917.6,2557.35
1802.1,1968.3,2581.2
1807.2,1994.1,2605.65
1950.9,2107.8,2614.2
1766.85,1909.5,2385.9
1697.25,1786.8,2118.75
1378.05,1454.1,1740.6
1395.9,1449.3,1651.2
1399.65,1448.7,1611.15
1367.1,1416.0,1600.5
1382.85,1440.6,1658.1
13477.95,13853.25,14644.2
21344.85,21607.35,22313.55
21564.75,21802.8,22373.7
21796.95,22210.2,22960.35
22080.3,22355.85,23016.6
21880.65,22218.75,22917.9
21109.65,21473.7,22126.65
21614.55,21950.7,22613.7
22054.2,22348.5,23054.55
21177.0,21565.35,22275.3
2140.05,2523.3,3307.2
1681.05,1832.25,2358.0
1806.9,1967.25,2507.7
1798.05,1992.15,2647.8
1779.3,1971.15,2592.6
1783.2,1919.55,2436.0
1899.45,2043.75,2542.65
1781.55,1888.35,2297.55
1591.5,1698.45,2087.1
1413.15,1468.65,1666.65
1412.25,1460.55,1632.15
1406.1,1433.1,1539.3
1356.3,1386.3,1484.4
1413.6,1452.6,1606.65
1292.25,1362.75,1708.5
1294.95,1406.4,1847.85
1269.9,1382.25,1825.2
1376.25,1522.05,2008.05
1433.4,1571.1,2046.75
1338.15,1492.5,2008.05
1223.55,1405.05,1936.65
1256.25,1422.9,2000.7
1218.6,1338.75,1793.3999999999999
1240.5,1394.55,1963.8
1240.5,1378.35,1851.3
1461.15,1575.9,2010.15
1661.85,1799.85,2258.1
1711.8,1873.95,2471.7
1710.3,1863.6,2376.6
1576.95,1695.9,2122.5
1635.6,1738.95,2140.95
1560.6,1646.55,1978.65
1552.8,1616.25,1846.2
1535.1,1602.45,1855.05
1367.7,1412.55,1584.3
1410.15,1450.8,1603.2
1375.05,1403.1,1486.95
1394.7,1428.9,1571.7
1276.2,1365.0,1711.95
1269.15,1313.85,1517.55
1231.65,1264.95,1396.5
1346.1,1404.9,1625.4
1370.7,1473.9,1861.35
1243.2,1362.45,1800.45
1253.55,1426.5,1967.1
1265.25,1393.35,1810.5
1231.95,1368.15,1806.15
1253.7,1372.05,1799.7
1258.95,1370.85,1753.95
1350.15,1454.25,1827.45
1761.45,1897.95,2346.0
1725.45,1896.9,2486.7
1607.1,1776.15,2339.85
1642.35,1780.8,2287.8
1590.3,1704.15,2087.55
1581.75,1668.45,2017.8
1589.25,1653.45,1924.05
1515.45,1564.5,1728.6
1413.0,1449.9,1596.0
1492.5,1525.35,1668.75
1537.5,1564.5,1661.55
1582.8,1612.5,1710.45
1528.95,1568.85,1716.15
1548.6,1587.9,1737.9
1455.15,1537.35,1806.45
1534.35,1597.5,1836.0
1535.25,1657.2,2086.35
1461.75,1660.65,2204.4
1342.2,1515.15,2117.25
1310.25,1461.45,1965.9
1380.75,1548.0,2085.6
1297.95,1471.8,2067.75
1338.45,1525.05,2107.95
1487.55,1619.4,2092.95
1629.45,1794.3,2347.5
1632.45,1814.1,2402.85
1811.1,2007.45,2606.4
1780.95,1945.05,2511.75
1639.05,1777.8,2213.55
1585.2,1731.45,2227.5
1596.9,1691.4,2013.0
1559.85,1607.85,1784.25
1575.9,1616.85,1754.1
1432.35,1459.35,1551.15
1435.95,1481.55,1647.9
1403.85,1494.9,1820.1
14477.55,14874.3,15742.2
20421.9,20702.55,21379.95
20786.1,20955.75,21441.75
21495.45,21749.25,22390.65
21678.6,21949.5,22604.4
21774.3,22052.25,22754.1
21893.25,22157.25,22863.15
22592.1,22839.3,23424.9
21991.05,22293.15,22995.15
17118.0,17516.25,18379.2
1953.15,2173.2,2841.45
1683.3,1905.75,2537.1
1806.0,2001.9,2567.7
1980.75,2175.45,2761.65
2042.4,2225.1,2783.55
1767.75,1940.85,2529.75
1819.05,1956.15,2475.15
1715.85,1799.85,2140.35
1727.4,1782.6,1988.85
1559.85,1616.25,1807.8
1441.95,1476.75,1605.9
1415.55,1452.3,1576.05
1414.35,1458.9,1595.55
1591.35,1642.8,1852.2
11539.65,11904.0,12742.65
21578.55,21802.2,22411.65
21546.75,21745.35,22310.55
21284.25,21565.5,22235.4
21024.6,21482.25,22263.9
21003.15,21461.7,22266.75
21492.15,21838.35,22544.7
21713.85,22079.4,22839.3
22440.45,22733.85,23422.95
21047.55,21434.55,22168.5
3273.45,3673.35,4390.35
1682.55,1864.65,2446.5
1843.8,2027.7,2626.5
1898.1,2073.0,2711.55
1960.2,2177.4,2843.4
1759.95,1921.8,2446.2
1876.2,2027.3999999999999,2522.4
1816.5,1933.65,2381.4
1684.5,1775.7,2121.3
1494.0,1546.65,1724.85
1459.95,1507.95,1648.2
1426.5,1459.05,1563.9
1418.1,1451.25,1552.2
1587.75,1660.8,1959.45
13026.6,13392.9,14244.15
21751.65,21985.95,22623.3
21584.1,21813.45,22347.6
21523.95,21850.05,22525.5
21277.05,21714.9,22511.85
20959.95,21396.15,22159.05
22122.45,22404.9,23097.0
22739.85,22984.95,23624.7
22097.7,22363.2,22975.2
14733.45,15266.7,16089.0
1844.4,2095.5,2772.15
1729.35,1907.1,2502.6
1831.8,2020.05,2631.0
1879.5,2073.9,2689.8
1867.65,2076.6,2765.1
1735.5,1887.9,2359.35
1745.7,1863.0,2292.75
1690.05,1821.15,2277.6
1619.7,1696.95,2024.1
1391.4,1455.9,1693.05
1350.15,1410.9,1613.55
1344.15,1380.9,1483.5
1447.2,1478.7,1577.1
1528.2,1584.0,1789.35
13578.6,13999.95,14830.65
19044.6,19266.0,19838.1
19964.7,20208.9,20848.65
20772.15,21063.15,21757.2
20697.0,21022.8,21744.0
19738.05,20045.4,20754.45
21071.85,21388.2,22154.7
15549.75,15799.8,16407.45
