index,DateTime,min,max,avg
179,2024-05-16 01:47:20,23.55,27.0,24.45
180,2024-05-16 02:47:20,21.45,22.65,21.6
181,2024-05-16 03:47:20,22.8,23.25,22.95
182,2024-05-16 04:47:20,24.15,27.15,24.45
183,2024-05-16 05:47:20,22.95,30.3,23.55
184,2024-05-16 06:47:20,24.0,42.75,28.05
185,2024-05-16 07:47:20,375.15,401.4,381.45
186,2024-05-16 08:47:20,375.75,388.2,379.2
187,2024-05-16 09:47:20,375.75,390.3,379.35
188,2024-05-16 10:47:20,376.05,386.4,378.3
189,2024-05-16 11:47:20,372.15,383.25,374.4
190,2024-05-16 12:47:20,368.1,386.85,374.7
191,2024-05-16 13:47:20,368.1,385.05,373.05
192,2024-05-16 14:47:20,371.85,387.9,377.55
193,2024-05-16 15:47:20,366.0,382.2,371.4
194,2024-05-16 16:47:20,343.05,359.85,348.3
195,2024-05-16 17:47:20,28.8,46.2,33.45
196,2024-05-16 18:47:20,29.4,42.9,32.55
197,2024-05-16 19:47:20,29.7,33.15,30.15
198,2024-05-16 20:47:20,30.15,30.9,30.3
199,2024-05-16 21:47:20,32.7,45.15,34.5
200,2024-05-16 22:47:20,28.35,42.15,32.1
201,2024-05-16 23:47:20,26.25,27.15,26.55
202,2024-05-17 00:47:20,25.05,39.15,28.2
203,2024-05-17 01:47:20,23.7,38.1,27.6
204,2024-05-17 02:47:20,21.75,23.4,22.2
205,2024-05-17 03:47:20,23.25,24.6,23.4
206,2024-05-17 04:47:20,22.65,23.1,22.65
207,2024-05-17 05:47:20,23.85,25.2,24.0
208,2024-05-17 06:47:20,23.4,26.7,23.7
209,2024-05-17 07:47:20,349.35,371.55,356.55
210,2024-05-17 08:47:20,325.65,328.2,326.7
211,2024-05-17 09:47:20,325.05,333.75,326.85
212,2024-05-17 10:47:20,351.45,362.4,354.0
213,2024-05-17 11:47:20,348.0,366.45,354.3
214,2024-05-17 12:47:20,304.2,317.4,307.8
215,2024-05-17 13:47:20,318.75,334.2,321.3
216,2024-05-17 14:47:20,352.8,368.85,357.0
217,2024-05-17 15:47:20,343.05,356.7,345.45
218,2024-05-17 16:47:20,309.0,325.5,312.0
219,2024-05-17 17:47:20,34.5,47.1,36.9
220,2024-05-17 18:47:20,30.75,44.55,34.2
221,2024-05-17 19:47:20,34.35,51.75,41.1
222,2024-05-17 20:47:20,30.75,45.0,35.1
223,2024-05-17 21:47:20,27.75,40.65,31.95
224,2024-05-17 22:47:20,26.7,40.5,30.15
225,2024-05-17 23:47:20,30.15,34.5,30.3
226,2024-05-18 00:47:20,24.15,25.65,24.3
227,2024-05-18 01:47:20,25.05,35.55,26.25
228,2024-05-18 02:47:20,25.05,25.65,25.2
229,2024-05-18 03:47:20,23.4,25.35,23.7
230,2024-05-18 04:47:20,25.65,30.3,26.1
231,2024-05-18 05:47:20,25.65,34.65,27.45
232,2024-05-18 06:47:20,27.15,27.9,27.45
233,2024-05-18 07:47:20,290.4,318.45,302.1
234,2024-05-18 08:47:20,249.15,261.15,251.1
235,2024-05-18 09:47:20,263.55,281.85,266.55
236,2024-05-18 10:47:20,263.4,276.9,265.5
237,2024-05-18 11:47:20,268.05,270.0,268.8
238,2024-05-18 12:47:20,265.95,280.05,269.4
239,2024-05-18 13:47:20,261.45,308.25,270.3
240,2024-05-18 14:47:20,285.75,298.95,290.25
241,2024-05-18 15:47:20,286.8,302.4,291.6
242,2024-05-18 16:47:20,24.75,46.95,31.2
243,2024-05-18 17:47:20,21.0,24.9,21.6
244,2024-05-18 18:47:20,27.3,28.05,27.45
245,2024-05-18 19:47:20,30.45,42.6,34.05
246,2024-05-18 20:47:20,31.35,45.0,34.8
247,2024-05-18 21:47:20,32.85,36.75,33.3
248,2024-05-18 22:47:20,32.4,46.95,39.3
249,2024-05-18 23:47:20,30.15,39.3,32.55
250,2024-05-19 00:47:20,24.45,24.75,24.45
251,2024-05-19 01:47:20,27.0,37.5,28.2
252,2024-05-19 02:47:20,25.05,26.25,25.2
253,2024-05-19 03:47:20,23.55,25.65,23.55
254,2024-05-19 04:47:20,25.05,25.8,25.5
255,2024-05-19 05:47:20,26.55,27.15,26.85
256,2024-05-19 06:47:20,25.8,34.2,26.4
257,2024-05-19 07:47:20,22.05,34.35,25.35
258,2024-05-19 08:47:20,22.65,35.1,25.65
259,2024-05-19 09:47:20,21.15,44.1,27.3
260,2024-05-19 10:47:20,22.2,35.7,25.8
261,2024-05-19 11:47:20,21.6,24.6,21.9
262,2024-05-19 12:47:20,20.25,31.65,22.65
263,2024-05-19 13:47:20,21.15,40.65,24.15
264,2024-05-19 14:47:20,22.65,31.35,23.4
265,2024-05-19 15:47:20,21.75,33.15,24.15
266,2024-05-19 16:47:20,23.1,44.1,29.7
267,2024-05-19 17:47:20,23.85,36.9,27.3
268,2024-05-19 18:47:20,24.75,39.6,28.2
269,2024-05-19 19:47:20,27.45,32.25,28.05
270,2024-05-19 20:47:20,30.75,44.85,34.5
271,2024-05-19 21:47:20,29.55,44.7,32.55
272,2024-05-19 22:47:20,28.05,31.65,28.2
273,2024-05-19 23:47:20,27.45,41.85,31.5
274,2024-05-20 00:47:20,27.3,28.05,27.6
275,2024-05-20 01:47:20,27.75,29.55,28.05
